Tiempo(s),RPM_suavizado
7.238,0.00
7.241,0.00
7.474,0.00
7.710,0.00
7.946,0.00
8.182,0.00
8.418,0.00
8.418,0.00
8.653,0.00
8.653,0.00
8.889,0.00
8.890,0.00
9.125,0.00
9.361,0.00
9.362,0.00
9.597,0.00
9.833,0.00
9.834,0.00
10.069,0.00
10.069,0.00
10.305,0.00
10.306,0.00
10.541,0.00
10.777,0.00
11.013,0.00
11.013,0.00
11.249,0.00
11.249,0.00
11.485,0.00
11.721,0.00
11.957,0.00
12.193,0.00
12.429,0.00
12.665,0.00
12.901,0.00
12.901,0.00
13.137,0.00
13.137,0.00
13.373,0.00
13.609,0.00
13.845,0.00
14.081,0.00
14.081,0.00
14.317,0.00
14.317,0.00
14.553,0.00
14.789,0.77
14.790,1.31
15.025,6.70
15.025,10.47
15.261,13.33
15.261,15.34
15.498,16.74
15.733,17.72
15.969,18.41
16.205,18.89
16.205,19.22
16.441,19.41
16.677,19.53
16.677,19.62
16.914,19.74
17.149,19.82
17.384,19.88
17.384,19.92
17.621,19.94
17.621,19.96
17.857,19.98
17.857,19.99
18.092,19.99
18.092,20.00
18.328,20.00
18.564,20.00
18.800,19.95
19.037,19.97
19.038,19.98
19.272,19.99
19.508,20.00
19.508,20.00
19.744,20.00
19.981,20.01
20.216,20.01
20.452,20.01
20.452,20.01
20.688,20.01
20.924,20.01
20.924,20.01
21.161,20.01
21.397,20.06
21.632,20.05
21.869,20.04
21.869,20.03
22.104,20.02
22.104,20.02
22.340,20.02
22.340,20.01
22.576,20.01
22.812,20.01
23.048,20.01
23.048,20.01
23.284,19.02
23.521,13.31
23.756,9.32
23.992,6.52
23.994,4.57
24.228,3.20
24.228,2.24
24.464,1.57
24.464,1.10
24.700,0.77
24.936,0.54
25.172,0.38
25.407,0.26
25.408,0.18
25.643,0.13
25.643,0.09
25.879,0.06
25.880,0.04
26.115,0.03
26.351,0.02
26.587,0.02
26.824,0.01
26.824,0.01
27.059,0.01
27.059,0.00
27.295,0.00
27.295,0.00
27.531,0.00
27.767,1.71
27.767,2.90
28.004,15.58
28.239,24.84
28.475,31.26
28.475,35.76
28.712,38.97
28.948,41.21
29.183,42.78
29.419,43.82
29.419,44.55
29.655,45.07
29.891,45.48
30.127,45.77
30.363,45.97
30.599,46.06
30.835,46.17
31.071,46.25
31.071,46.31
31.307,46.35
31.307,46.38
31.544,46.34
31.779,46.37
32.015,46.39
32.015,46.41
32.251,46.36
32.251,46.33
32.487,46.31
32.723,46.35
32.723,46.38
32.959,46.40
33.194,46.35
33.430,46.33
33.430,46.31
33.666,46.35
33.666,46.37
33.902,46.39
33.903,46.41
34.138,46.42
34.139,46.42
34.374,46.38
34.610,46.39
34.846,46.41
35.082,46.42
35.082,46.42
35.318,46.38
35.319,46.34
35.555,46.32
35.790,46.35
36.026,46.38
36.262,46.40
36.498,46.36
36.499,46.33
36.734,46.31
36.734,46.29
36.970,46.34
36.970,46.37
37.206,46.39
37.442,46.40
37.678,46.36
37.678,46.33
37.914,46.36
37.914,46.39
38.150,46.40
38.386,46.36
38.622,46.33
38.858,46.36
39.094,46.39
39.330,46.40
39.567,33.86
39.802,23.70
40.038,16.59
40.038,11.61
40.274,8.13
40.274,5.69
40.509,3.98
40.745,2.79
40.981,1.95
40.982,1.37
41.218,0.96
41.218,0.67
41.453,0.47
41.454,0.33
41.690,0.23
41.690,0.16
41.926,0.11
42.162,0.08
42.397,0.06
42.633,0.04
42.633,0.03
42.869,0.02
42.869,0.01
43.105,0.01
43.105,0.01
43.341,0.00
43.577,0.00
43.814,0.00
44.050,0.00
44.285,0.00
44.285,0.00
44.521,0.00
44.757,0.00
44.993,0.00
45.229,13.11
45.230,22.28
45.466,37.35
45.701,47.90
45.937,55.34
46.173,60.54
46.409,64.13
46.409,66.65
46.645,68.46
46.882,69.67
46.882,70.53
47.117,71.17
47.117,71.63
47.353,71.89
47.589,72.08
47.825,72.21
48.062,72.30
48.062,72.36
48.298,72.46
48.298,72.53
48.533,72.58
48.533,72.61
48.769,72.58
49.004,72.61
49.241,72.64
49.241,72.65
49.477,72.61
49.477,72.58
49.713,72.61
49.713,72.64
49.948,72.65
50.184,72.61
50.421,72.63
50.657,72.60
50.892,72.62
51.129,72.59
51.364,72.57
51.364,72.55
51.600,72.59
51.836,72.62
52.072,72.59
52.072,72.56
52.308,72.55
52.544,72.59
52.781,72.62
52.781,72.64
53.016,72.66
53.252,72.61
53.488,72.58
53.725,72.56
53.725,72.55
53.960,72.53
53.961,72.53
54.196,72.52
54.196,72.52
54.432,72.57
54.668,72.61
54.904,72.63
55.141,72.65
55.376,72.66
55.376,72.67
55.612,72.68
55.612,72.68
55.848,72.68
55.848,72.69
56.084,72.69
56.320,72.69
56.556,72.69
56.792,72.63
56.792,72.60
57.028,58.64
57.028,48.87
57.265,34.21
57.266,23.95
57.500,16.76
57.500,11.73
57.735,8.21
57.971,5.75
58.208,4.02
58.444,2.82
58.681,1.97
58.681,1.38
58.915,0.97
58.916,0.68
59.152,0.47
59.153,0.33
59.388,0.23
59.623,0.16
59.859,0.11
60.095,0.08
60.331,0.06
60.567,0.04
60.567,0.03
60.804,0.02
61.039,0.01
61.275,0.01
61.512,0.01
61.747,0.00
61.748,0.00
61.983,17.57
62.219,41.87
62.455,58.99
62.691,70.92
62.691,79.27
62.928,85.12
62.928,89.21
63.163,92.08
63.163,94.08
63.399,95.48
63.635,96.47
63.871,97.16
64.108,97.69
64.108,98.07
64.343,98.33
64.343,98.51
64.579,98.59
64.579,98.64
64.815,98.67
65.052,98.70
65.287,98.72
65.523,98.73
65.524,98.74
65.759,98.80
65.760,98.84
65.995,98.82
65.995,98.80
66.230,98.79
66.466,98.83
66.703,98.81
66.939,98.80
66.939,98.79
67.174,98.83
67.174,98.86
67.410,98.89
67.411,98.90
67.646,98.91
67.882,98.87
68.119,98.84
68.355,98.87
68.590,98.83
68.827,98.81
69.062,98.85
69.063,98.88
69.298,98.90
69.535,98.91
69.770,98.92
70.006,98.92
70.007,98.93
70.243,98.93
70.243,98.93
70.479,98.94
70.480,98.94
70.714,99.00
70.950,99.04
71.187,99.06
71.422,99.08
71.422,99.10
71.658,99.11
71.894,99.11
71.894,99.12
72.130,99.07
72.366,99.03
72.602,72.84
72.838,50.99
73.073,35.69
73.309,24.99
73.546,17.49
73.546,12.24
73.781,8.57
73.782,6.00
74.018,4.20
74.019,2.94
74.254,2.06
74.489,1.44
74.490,1.01
74.726,0.71
74.962,0.49
74.962,0.35
75.197,0.24
75.197,0.17
75.434,0.12
75.434,0.08
75.671,0.06
75.905,0.04
76.142,0.03
76.378,0.02
76.613,0.01
76.849,0.01
76.850,0.01
77.086,0.00
77.321,0.00
77.557,0.00
77.557,0.00
77.793,0.00
77.793,0.00
78.029,0.00
78.029,0.00
78.265,0.00
78.501,0.00
78.737,22.19
78.973,52.87
79.209,74.46
79.209,89.57
79.445,100.14
79.445,107.55
79.681,112.67
79.917,116.26
80.153,118.78
80.390,120.59
80.626,121.86
80.626,122.75
80.861,123.37
80.861,123.80
81.097,124.11
81.333,124.32
81.570,124.47
81.804,124.58
82.041,124.65
82.042,124.70
82.277,124.74
82.277,124.76
82.512,124.67
82.513,124.61
82.749,124.62
82.985,124.62
83.220,124.63
83.457,124.69
83.458,124.73
83.693,124.75
83.693,124.77
83.928,124.79
84.164,124.80
84.401,124.80
84.637,124.75
84.872,124.77
85.108,124.79
85.344,124.80
85.345,124.80
85.580,124.81
85.581,124.81
85.816,124.87
86.052,124.86
86.289,124.85
86.524,124.84
86.524,124.83
86.760,124.83
86.996,124.83
86.996,124.82
87.233,124.82
87.468,124.82
87.705,124.82
87.940,124.88
87.940,124.92
88.176,124.89
88.176,124.87
88.412,124.85
88.412,124.84
88.648,124.84
88.884,124.83
89.120,124.89
89.355,124.92
89.356,124.95
89.592,124.97
89.827,124.98
89.828,124.99
90.063,125.00
90.300,101.54
90.536,71.08
90.772,49.75
91.007,34.83
91.243,24.38
91.479,17.07
91.479,11.95
91.715,8.36
91.715,5.85
91.951,4.10
91.951,2.87
92.187,2.01
92.423,1.41
92.659,0.98
92.895,0.69
93.132,0.48
93.132,0.34
93.367,0.24
93.367,0.17
93.604,0.12
93.839,0.08
94.075,0.06
94.311,0.04
94.311,0.03
94.548,0.02
94.548,0.01
94.783,0.01
94.783,0.01
95.019,0.00
95.255,0.00
95.491,0.00
95.727,0.00
95.963,0.00
95.963,0.00
96.199,17.95
96.435,65.10
96.671,98.60
96.907,122.05
97.143,138.47
97.143,149.96
97.379,158.00
97.379,163.63
97.615,167.63
97.851,170.43
98.087,172.28
98.322,173.63
98.558,174.57
98.795,175.18
98.796,175.60
99.030,175.90
99.031,176.10
99.266,176.30
99.503,176.44
99.738,176.54
99.974,176.67
99.974,176.76
100.210,176.82
100.210,176.86
100.446,176.83
100.446,176.81
100.682,176.86
100.919,176.89
101.154,176.91
101.390,176.98
101.626,177.03
101.626,177.06
101.862,177.03
101.862,177.01
102.098,176.99
102.334,176.98
102.570,176.98
102.806,176.97
103.042,176.91
103.278,176.93
103.278,176.94
103.515,176.94
103.516,176.95
103.750,177.01
103.987,176.99
104.222,177.04
104.458,177.07
104.693,177.04
104.694,177.01
104.930,177.00
104.930,176.99
105.166,176.98
105.401,176.97
105.637,177.02
105.874,177.11
106.110,177.12
106.111,177.13
106.346,177.13
106.347,177.13
106.582,177.14
106.583,177.14
106.817,177.14
107.055,177.14
107.289,177.08
107.525,177.10
107.525,177.11
107.761,177.12
107.761,177.13
107.998,177.13
107.998,177.13
108.234,131.15
108.469,91.81
108.469,64.26
108.705,44.98
108.941,31.49
109.177,22.04
109.413,15.43
109.649,10.80
109.650,7.56
109.885,5.29
110.121,3.70
110.357,2.59
110.594,1.82
110.829,1.27
111.066,0.89
111.066,0.62
111.301,0.44
111.301,0.31
111.537,0.21
111.537,0.15
111.773,0.10
112.010,0.07
112.245,0.05
112.245,0.04
112.481,0.03
112.482,0.02
112.717,0.01
112.717,0.01
112.952,0.01
113.189,47.47
113.425,90.39
113.660,120.44
113.661,141.47
113.896,156.19
114.132,166.49
114.368,173.71
114.605,178.76
114.840,182.24
114.841,184.67
115.076,186.38
115.077,187.57
115.312,188.52
115.313,189.18
115.549,189.64
115.550,189.96
115.785,190.14
116.020,190.26
116.256,190.34
116.492,190.40
116.728,190.50
116.728,190.56
116.964,190.67
116.964,190.74
117.201,190.73
117.436,190.79
117.672,190.82
117.909,190.85
117.909,190.87
118.144,190.82
118.144,190.79
118.381,190.83
118.381,190.85
118.616,190.87
118.853,190.82
119.088,190.79
119.325,190.77
119.561,190.76
119.561,190.75
119.797,190.74
119.797,190.73
120.033,190.73
120.033,190.73
120.269,190.72
120.504,190.72
120.741,190.72
120.976,190.72
121.212,190.78
121.212,190.82
121.448,190.85
121.685,190.81
121.919,190.84
122.155,190.86
122.391,190.87
122.392,190.89
122.628,190.95
122.628,190.99
122.864,175.05
122.864,163.89
123.099,114.78
123.335,80.35
123.336,56.24
123.571,39.37
123.571,27.56
123.807,19.29
124.043,13.50
124.279,9.45
124.516,6.62
124.516,4.63
124.752,3.24
124.752,2.27
124.987,1.59
124.987,1.11
125.223,0.78
125.459,0.54
125.696,0.38
125.931,0.27
126.168,0.19
126.169,0.13
126.403,0.09
126.639,0.06
126.875,0.04
127.112,0.03
127.347,0.02
127.347,0.02
127.584,0.01
127.585,0.01
127.819,0.01
127.819,0.00
128.055,0.00
128.292,0.00
128.527,0.00
128.763,0.00
129.000,0.00
129.000,0.00
129.235,0.00
129.235,0.00
129.470,0.00
129.471,0.00
129.707,0.00
129.943,0.00
130.179,0.00
130.414,0.00
130.415,0.00
130.651,0.00
130.651,0.00
130.886,0.00
130.887,0.00
131.123,0.00
131.359,0.00
131.594,0.00
131.831,0.00
131.832,0.00
132.067,0.00
132.067,0.00
132.302,0.00
132.303,0.00
132.538,0.00
132.774,0.00
133.010,0.00
133.247,0.00
133.482,0.00
133.718,0.00
133.954,0.00
133.954,0.00
134.191,0.00
134.426,0.00
134.662,0.00
134.662,0.00
134.915,0.00
134.915,0.00
135.134,0.00
135.134,0.00
135.370,0.00
135.370,0.00
135.607,0.00
135.842,0.00
136.079,0.00
136.314,0.00
136.314,0.00
136.550,0.00
136.550,0.00
136.786,0.00
136.787,0.00
137.022,0.00
137.257,0.00
137.494,0.00
137.729,0.00
137.730,0.00
137.965,0.00
137.966,0.00
138.201,0.00
138.201,0.00
138.438,0.00
138.674,0.00
138.909,0.00
139.233,0.00
139.382,0.00
139.382,0.00
139.617,0.00
139.617,0.00
139.854,0.00
139.854,0.00
140.098,0.00
